transaction_date,id_transaction,product_id,price
2023-01-31,101,201,1019.99
2023-02-01,102,202,1029.99
2023-02-02,103,203,1039.99
2023-02-03,104,204,1049.99
2023-02-04,105,205,1059.99
2023-02-05,106,206,1069.99
2023-02-06,107,207,1079.99
2023-02-07,108,208,1089.99
2023-02-08,109,209,1099.99
2023-02-09,110,210,1109.99
2023-02-10,111,211,1119.99
2023-02-11,112,212,1129.99
2023-02-12,113,213,1139.99
2023-02-13,114,214,1149.99
2023-02-14,115,215,1159.99
2023-02-15,116,216,1169.99
2023-02-16,117,217,1179.99
2023-02-17,118,218,1189.99
2023-02-18,119,219,1199.99
2023-02-19,120,220,1209.99
2023-02-20,121,221,1219.99
2023-02-21,122,222,1229.99
2023-02-22,123,223,1239.99
2023-02-23,124,224,1249.99
2023-02-24,125,225,1259.99
2023-02-25,126,226,1269.99
2023-02-26,127,227,1279.99
2023-02-27,128,228,1289.99
2023-02-28,129,229,1299.99
